Delphes classes imported
-------------------------------------->  50000 events have been loaded and are ready for analysis!!!!!!!!!!!
Raw number of events before full selection: 50000
Raw number of events that passed full selection: 26087 +- 161.514705213
Used cross section 0.0017345 pb
Weighted number of events that passed full selection: 32.57848908 +- 0.201706024458
Bin range, Value
1250.0-1500.0, 0.242274954915
1500.0-1750.0, 0.328444927931
1750.0-2000.0, 0.479554563761
2000.0-2250.0, 0.705594599247
2250.0-2500.0, 1.01905345917
2500.0-2750.0, 1.45614743233
2750.0-3000.0, 2.11053967476
3000.0-3250.0, 2.85484814644
3250.0-3500.0, 4.2485537529
3500.0-3750.0, 6.52768659592
3750.0-4000.0, 8.0700044632
4000.0-4250.0, 3.48176598549
4250.0-4500.0, 0.514522075653
4500.0-4750.0, 0.141118913889
4750.0-5000.0, 0.0524512790143
5000.0-5250.0, 0.0224791206419
5250.0-5500.0, 0.0124883996323
5500.0-5750.0, 0.00999072007835
5750.0-6000.0, 0.00124884000979
6000.0-6250.0, 0.00249768001959
6250.0-6500.0, 0.0
6500.0-6750.0, 0.0
6750.0-7000.0, 0.0
7000.0-7250.0, 0.0
7250.0-7500.0, 0.0
7500.0-7750.0, 0.0
7750.0-8000.0, 0.0
