Delphes classes imported
-------------------------------------->  100000 events have been loaded and are ready for analysis!!!!!!!!!!!
Raw number of events before full selection: 100000
Raw number of events that passed full selection: 38147 +- 195.31257
Used cross section 1.9138873e-06 pb
Weighted number of events that passed full selection: 0.00941816858947 +- 4.82210058957e-05
Bin range, Value
200.0-290.0, 0.00428109802306
290.0-380.0, 0.00229189335369
380.0-470.0, 0.0012272974709
470.0-560.0, 0.000693271227647
560.0-650.0, 0.000400951743359
650.0-740.0, 0.000212079772609
740.0-830.0, 0.000133568275487
830.0-920.0, 6.96233910276e-05
920.0-1010.0, 4.19715470343e-05
1010.0-1100.0, 2.39484725171e-05
1100.0-1190.0, 1.75292934728e-05
1190.0-1280.0, 7.90052672528e-06
1280.0-1370.0, 5.4316119531e-06
1370.0-1460.0, 3.45648049915e-06
1460.0-1550.0, 4.19715479438e-06
1550.0-1640.0, 1.72824024958e-06
1640.0-1730.0, 7.40674408917e-07
1730.0-1820.0, 2.46891460165e-07
1820.0-1910.0, 2.46891460165e-07
1910.0-2000.0, 0.0
